"","V1","V2"
"305","Paid parking lot off premises u2013 BRL40 per day","2"
"306","Dedicated workspace desk and office chair","53"
"307","Fire pit","236"
"308","MABE stainless steel gas stove","4"
"309","GE refrigerator","8"
"310","Paid parking garage on premises u2013 10 spaces","2"
"311","Free carport on premises u2013 1 space","44"
"312","MIELE refrigerator","2"
"313","Paid parking garage off premises u2013 EUR3 per day","2"
"314","Wifi u2013 25 Mbps","12"
"315","Lacanche oven","1"
"316","Private sauna","19"
"317","LACANCHE gas stove","1"
"318","AESOP shampoo","2"
"319","SONOS sound system","10"
"320","Clothing storage wardrobe dresser and walkin closet","3"
"321","bose Bluetooth sound system","5"
"322","Biodegradable no probado en  animales shampoo","1"
"323","Biodegradable no probado en animales body soap","1"
"324","Dedicated workspace office chair and desk","45"
"325","Smeg oven","8"
"326","Wifi u2013 30 Mbps","62"
"327","Dove ou similar shampoo","1"
"328","Outdoor shower","290"
"329","Biologico body soap","1"
"330","Whirpool stainless steel oven","1"
"331","Biologico conditioner","1"
"332","Shampoo Biologico shampoo","1"
"333","18","1"
"334","Wifi u2013 132 Mbps","1"
"335","Molton Brown  body soap","1"
"336","Samsung sound system","1"
"337","65","41"
"338","cooktop stainless steel gas stove","1"
"339","Kerafix Shampoo creme sem sal (Euroderm) shampoo","1"
"340","Yamasterol conditioner","1"
"341","Dedicated workspace office chair and table","13"
"342","Dove body soap","44"
"343","LG Bluetooth sound system","7"
"344","Puracy or Jr Watkins body soap","1"
"345","Puracy or Jr Watkins conditioner","1"
"346","Shared indoor pool","10"
"347","Marca Libre neutro jabu00f3n lu00edquido corporal body soap","1"
"348","Daewoo refrigerator","7"
"349","TV with premium cable","12"
"350","Loccitane conditioner","1"
"351","LOccitane body soap","6"
"352","Paid parking garage off premises u2013 EUR15 per day","2"
"353","Childrenu2019s books and toys for ages 02 years old 25 years old 510 years old and 10 years old","7"
"354","Sound system with Bluetooth and aux","58"
"355","Philips 2 in 1 sound system with aux","1"
"356","50","96"
"357","Lux ou similar body soap","1"
"358","Agratto stainless steel electric stove","1"
"359","Clothing storage dresser and wardrobe","28"
"360","Free parking garage on premises u2013 2 spaces","36"
"361","Consul refrigerator","28"
"362","DOVE body soap","6"
"363","Small portable type  oven","1"
"364","Free carport on premises","10"
"365","2 plate gas counter top  gas stove","1"
"366","DoveNivea body soap","1"
"367","vidal body soap","1"
"368","GE Profile stainless steel gas stove","1"
"369","Black and Decker stainless steel oven","1"
"370","Dedicated workspace table and office chair","18"
"371","2 Plaques u00e9lectriques electric stove","1"
"372","Paid dryeru2013In building","88"
"373","dove body soap","15"
"374","HDTV with Amazon Prime Video Apple TV HBO Max Netflix Roku premium cable","1"
"375","Fenced garden or backyard","2"
"376","Amika conditioner","1"
"377","Summit refrigerator","1"
"378","Amika shampoo","1"
"379","Frigidaire stainless steel oven","6"
"380","Frigidaire stainless steel gas stove","6"
"381","Dr Bronners body soap","3"
"382","eletrolux refrigerator","2"
"383","consul stainless steel gas stove","3"
"384","consul stainless steel oven","2"
"385","LUX body soap","1"
"386","Wifi u2013 135 Mbps","1"
"387","49","27"
"388","Sony  Technic sound system with aux","1"
"389","Kiels body soap","1"
"390","Childrenu2019s books and toys for ages 510 years old","5"
"391","Ultimate ears  BOOM 3 Bluetooth sound system","1"
"392","Paid parking garage on premises u2013 1 space","38"
"393","Older model stove  a lighter is required to ignite the gas Lighter will be provided in the kitchen bench gas stove","1"
"394","sony sound system","1"
"395","Philips (Subwoofer  2 speakers) sound system with aux","1"
"396","Wifi u2013 240 Mbps","27"
"397","47","7"
"398","Dedicated workspace table and desk","16"
"399","Dove Deep Moisture body soap","1"
"400","HDTV with Netflix standard cable","36"
"401","La cocina estu00e1 diseu00f1ada para hacer platillos sencillos no es una cocina profesional pero permite hacer platillos sencillos  stainless steel gas stove","1"
"402","Nu00edvea ou Granado body soap","1"
"403","Clothing storage dresser walkin closet closet and wardrobe","1"
"404","novo conditioner","1"
"405","Portable Induction 1 pot stove induction stove","1"
"406","Body wash body soap","2"
"407","Shared outdoor heated rooftop pool","1"
"408","Shared hot tub","41"
"409","Marshall sound system with Bluetooth and aux","8"
"410","Clothing storage walkin closet closet and dresser","1"
"411","34","3"
"412","Breville Convection Oven stainless steel oven","1"
"413","Sonos sound system","36"
"414","Free residential garage on premises","41"
"415","natua body soap","1"
"416","Pool cover","78"
"417","samsung refrigerator","8"
"418","convectionmicrowave oven","1"
"419","Mabe stainless steel oven","5"
"420","Clothing storage walkin closet and closet","15"
"421","70","7"
"422","Free parking on premises u2013 2 spaces","6"
"423","Milton Brown conditioner","1"
"424","MIlton Brown body soap","1"
"425","Paid parking lot off premises u2013 BRL60 per day","3"
"426","Daewoo Retro refrigerator","1"
"427","Shared outdoor saltwater pool","14"
"428","HDTV with standard cable","106"
"429","Childrenu2019s books and toys for ages 02 years old and 25 years old","10"
"430","elidor conditioner","5"
"431","samsung Bluetooth sound system","4"
"432","generic conditioner","1"
"433","generic body soap","1"
"434","Paid parking garage on premises u2013 2 spaces","7"
"435","Clothing storage dresser wardrobe and walkin closet","1"
"436","Paid parking lot off premises u2013 BRL3 per hour","1"
"437","General Electric stainless steel oven","1"
"438","General Electric induction stove","1"
"439","Claire Smith body soap","1"
"440","TV with Netflix premium cable","1"
"441","Paid street parking off premises u2013 BRL30 per stay","1"
"442","Samsung with ice machine and purified water dispenser refrigerator","1"
"443","SMEG oven","5"
"444","SMEG electric stove","3"
"445","Hisense refrigerator","17"
"446","Dedicated workspace desk table and office chair","5"
"447","cooktop 2 bocas electric stove","1"
"448","Aesop body soap","5"
"449","Aesop shampoo","4"
"450","Aesop conditioner","4"
"451","Fisher  Paykel refrigerator","21"
"452","Bang  Olufsen Bluetooth sound system","2"
"453","Miele stainless steel gas stove","7"
"454","Electrolux refrigerator","15"
"455","Brastemp stainless steel oven","8"
"456","Whirlpool refrigerator","13"
"457","LIEBHERR refrigerator","2"
"458","7 Plantes Cien shampoo","1"
"459","Clothing storage closet dresser and walkin closet","6"
"460","Clothing storage dresser wardrobe and closet","6"
"461","deux plaques u00e9lectriques electric stove","1"
"462","Dedicated workspace table desk and office chair","8"
"463","Yaber v6 Movie Projector with built in Speaker Bluetooth sound system","1"
"464","Hitachi stainless steel oven","1"
"465","bosch induction stove","1"
"466","bosch stainless steel oven","2"
"467","Mini four oven","1"
"468","First Line refrigerator","1"
"469","URIAGE GEL DERMATOLOGIQUE body soap","1"
"470","Clothing storage walkin closet and wardrobe","10"
"471","Denon sound system with Bluetooth and aux","4"
"472","PRO LINE oven","1"
"473","PRO LINE refrigerator","1"
"474","PRO LINE electric stove","1"
"475","DJCODE body soap","1"
"476","Paid parking garage off premises u2013 EUR24 per day","1"
"477","Paid street parking off premises u2013 EUR2 per hour","6"
"478","MIELE oven","1"
"479","SMEG induction stove","1"
"480","Clothing storage walkin closet closet and wardrobe","1"
"481","Uriage body soap","1"
"482","Aesop  body soap","1"
"483","Apple  Bluetooth sound system","1"
"484","Game console Nintendo Switch","1"
"485","Aesop  conditioner","1"
"486","TV with HBO Max","1"
"487","Bang  Olufsen sound system with Bluetooth and aux","1"
"488","23","2"
"489","TV with Chromecast","29"
"490","Micro onde oven","1"
"491","avec congelateur refrigerator","1"
"492","Yamaha sound system with aux","1"
"493","Clothing storage closet and walkin closet","8"
"494","Brastemp stainless steel gas stove","16"
"495","Wifi u2013 800 Mbps","1"
"496","LG refrigerator","36"
"497","Brastemp Duplex Frost Free refrigerator","1"
"498","Pionner sound system with aux","1"
"499","Consul 4 bocas stainless steel gas stove","1"
"500","BRASTEMP stainless steel gas stove","1"
"501","NAD sound system with aux","1"
"502","Clothing storage dresser and walkin closet","8"
"503","IEM stainless steel gas stove","1"
"504","Arcelik refrigerator","3"
"505","Brastemp Inverse refrigerator","1"
"506","brasntemp refrigerator","1"
"507","Mabe refrigerator","17"
"508","TV with Roku Netflix","2"
"509","Brastemp refrigerator","31"
"510","UE BOOM 2 Bluetooth sound system","1"
"511","HDTV with Apple TV","5"
"512","Wifi u2013 300 Mbps","20"
"513","bosche stainless steel oven","1"
"514","UE Wonderboom Bluetooth sound system","1"
"515","ariston refrigerator","2"
"516","Paid valet parking on premises","15"
"517","brastemp cook top gas stove","1"
"518","jhonson body soap","1"
"519","brastemp stainless steel oven","2"
"520","consul refrigerator","10"
"521","Westinghouse refrigerator","14"
"522","Smeg gas stove","4"
"523","White Westinhouse refrigerator","1"
"524","Shared outdoor lap pool","15"
"525","TV with Netflix Amazon Prime Video","10"
"526","Bio body soap","3"
"527","Clothing storage closet wardrobe and walkin closet","4"
"528","miele stove","1"
"529","Wifi u2013 53 Mbps","1"
"530","Diverso conditioner","2"
"531","81","14"
"532","Gu00e1s oven","1"
"533","Consul 280L refrigerator","1"
"534","Bath  Body Works shampoo","12"
"535","Bath  Body Works conditioner","13"
"536","Bath  Body Works body soap","13"
"537","LG stainless steel stove","1"
"538","WHIRPOOL stainless steel oven","1"
"539","Aru00e7elik refrigerator","14"
"540","gucci body soap","1"
"541","Euro Gas stainless steel oven","1"
"542","Euro Gas stainless steel gas stove","1"
"543","Palmolive body soap","13"
"544","Moroccon Oil conditioner","1"
"545","BEKO refrigerator","3"
"546","VENAX gas stove","1"
"547","Harman Kardon sound system","1"
"548","SMEGG refrigerator","1"
"549","Shared gym","9"
"550","Shared pool","16"
"551","HDTV with Amazon Prime Video Netflix","11"
"552","Public Goods conditioner","1"
"553","Google Home Bluetooth sound system","3"
"554","Aveda shampoo","25"
"555","Aveda conditioner","25"
"556","Aveda body soap","25"
"557","brastemp refrigerator","7"
"558","Divers conditioner","1"
"559","Divers  body soap","1"
"560","Q3 Bluetooth sound system","1"
"561","FRIGIDAIRE refrigerator","2"
"562","Rituals conditioner","9"
"563","28","7"
"564","Candy refrigerator","2"
"565","Sens body soap","1"
"566","Private gym in building","4"
"567","Email us your choice we keep dove body soap","1"
"568","57","2"
"569","candy refrigerator","1"
"570","Smeg stainless steel oven","32"
"571","Rituals body soap","9"
"572","Bose  sound system with Bluetooth and aux","1"
"573","Pineda Covalin body soap","2"
"574","Pineda Covalin conditioner","2"
"575","Pineda Covalin shampoo","1"
"576","Free driveway parking on premises","58"
"577","56","2"
"578","Paid parking garage off premises u2013 8 per day","1"
"579","Paid parking lot off premises u2013 8 per day","4"
"580","Amazon Alexa Bluetooth sound system","1"
"581","phebo body soap","1"
"582","sony Bluetooth sound system","2"
"583","Free residential garage on premises u2013 2 spaces","41"
"584","Bose sound system with aux","4"
"585","Sonos (Please download Sonos S1 app  S2 wont work) Bluetooth sound system","1"
"586","Shared indoor heated olympicsized saltwater pool","1"
"587","Miele refrigerator","6"
"588","HDTV with Netflix standard cable premium cable","1"
"589","Sabonete de Erva Doce  body soap","1"
"590","Wifi u2013 250 Mbps","2"
"591","Rituals shampoo","9"
"592","ankastre stainless steel oven","1"
"593","SAMSUNG refrigerator","8"
"594","HDTV with Netflix Amazon Prime Video","25"
"595","HDTV with Amazon Prime Video Netflix Roku","2"
"596","33","2"
"597","Charlotte Rhys conditioner","41"
"598","Charlotte Rhys body soap","36"
"599","TV with Apple TV","4"
"600","beko refrigerator","11"
"601","Game console PS4","23"
"602","Childrenu2019s books and toys for ages 10 years old","4"
"603","sinfer stainless steel oven","1"
"604","aru00e7elik refrigerator","4"
"605","Paid parking garage off premises u2013 BRL40 per day","1"
"606","24","9"
"607","CLASSIQUE shampoo","2"
"608","Clothing storage wardrobe walkin closet and closet","3"
"609","Wine cellar","13"
"610","Espresso machine","57"
"611","Ice machine","38"
"612","Bosch refrigerator","44"
"613","Bosch oven","12"
"614","Bosch induction stove","5"
"615","Satellite TV","41"
"616","Walk in closet","2"
"617","Wifi u2013 29 Mbps","1"
"618","Neutro body soap","4"
"619","nivea body soap","7"
"620","HDTV with Chromecast","25"
"621","Induction cooker induction stove","1"
"622","Ortigia conditioner","1"
"623","smeg stainless steel oven","9"
"624","Wifi u2013 500 Mbps","7"
"625","UE BOOM Bluetooth sound system","1"
"626","le petit marseillais body soap","1"
"627","l oreal conditioner","1"
"628","samsung stainless steel oven","5"
"629","proline refrigerator","1"
"630","Shared outdoor infinity pool","3"
"631","Pantene conditioner","28"
"632","Wifi u2013 90 Mbps","12"
"633","Pantene shampoo","25"
"634","HDTV with Chromecast Netflix","3"
"635","Wifi u2013 12 Mbps","3"
"636","vestel refrigerator","7"
"637","franke stainless steel oven","1"
"638","Clothing storage wardrobe closet dresser and walkin closet","2"
"639","Paid parking garage on premises u2013 5 spaces","1"
"640","Paid parking garage off premises u2013 EUR20 per day","2"
"641","Paid parking lot on premises u2013 BRL25 per day 100 spaces","1"
"642","1 fornello funzionante induction stove","1"
"643","kit bu00e1sico modelo de hotel body soap","1"
"644","kit bu00e1sico modelo de hotel conditioner","1"
"645","Phillips refrigerator","2"
"646","dyptique shampoo","1"
"647","dyptique body soap","1"
"648","Elidor body soap","2"
"649","Elidor conditioner","2"
"650","Ikea refrigerator","3"
"651","Bose sound system with Bluetooth and aux","9"
"652","Sony Bluetooth sound system","2"
"653","com freezer refrigerator","1"
"654","Paid parking garage on premises u2013 1000 spaces","1"
"655","Smeg electric stove","2"
"656","Vestel refrigerator","5"
"657","Bio La vie Claire shampoo","1"
"658","Sanex body soap","2"
"659","Smeg refrigerator","7"
"660","SONY Bluetooth sound system","1"
"661","usually Dove body soap","1"
"662","nexus  conditioner","1"
"663","Regular conditioner","1"
"664","Alexa  sound system with Bluetooth and aux","1"
"665","Jergens body soap","1"
"666","Clothing storage closet walkin closet and wardrobe","4"
"667","30","11"
"668","HDTV with Apple TV Chromecast Netflix standard cable","1"
"669","Unknown  you can plug right into phone sound system with aux","1"
"670","Various shampoo","2"
"671","Various body soap","2"
"672","Various conditioner","2"
"673","Dedicated workspace office chair desk and table","6"
"674","HDTV with Amazon Prime Video","2"
"675","Doss Bluetooth Speaker Bluetooth sound system","1"
"676","Whirlpool stainless steel oven","7"
"677","Onkyo sound system with aux","1"
"678","Free driveway parking on premises u2013 2 spaces","28"
"679","Paid parking lot on premises u2013 MXN200 per day","1"
"680","blendax elidor or pantene body soap","1"
"681","blendax elidor or pantene conditioner","3"
"682","elidor blendax or pantene conditioner","1"
"683","Paid parking garage on premises u2013 EUR5 per day","1"
"684","Paid parking garage off premises u2013 EUR5 per day","2"
"685","elidor blendax or pantene shampoo","1"
"686","petite marseille or palmolive body soap","3"
"687","Clothing storage closet wardrobe and dresser","16"
"688","americain  refrigerator","1"
"689","arcelik refrigerator","3"
"690","Eletrolux Inox  refrigerator","1"
"691","Smegg electric oven oven","1"
"692","NEF gas stovetop stainless steel gas stove","1"
"693","MABE stainless steel oven","4"
"694","Garnier body soap","1"
"695","pg or unilever products sound system","1"
"696","pg or unilever products body soap","2"
"697","pg or unilever products conditioner","1"
"698","electrolux refrigerator","4"
"699","sauter oven","1"
"700","Paid parking lot on premises u2013 EUR5 per day","2"
"701","charlotte rhys body soap","1"
"702","JBL  Bluetooth sound system","1"
"703","HDTV with Netflix Chromecast","6"
"704","RITUALS body soap","5"
"705","Charlotte Rhys shampoo","36"
"706","pantene or elidor conditioner","1"
"707","Lerbolario ginepro nero body soap","1"
"708","LErbolario ginepro nero shampoo","1"
"709","GE stainless steel electric stove","3"
"710","GE stainless steel oven","2"
"711","Com freezer refrigerator","1"
"712","pg or unilever products or equivalent conditioner","2"
"713","grundig Bluetooth sound system","2"
"714","bosch refrigerator","5"
"715","Defy stainless steel oven","7"
"716","ILVE stainless steel gas stove","1"
"717","Childrenu2019s books and toys for ages 25 years old","9"
"718","Bosch stainless steel oven","27"
"719","Bosch stainless steel electric stove","11"
"720","Wifi u2013 45 Mbps","1"
"721","Clothing storage walkin closet and dresser","5"
"722","Grill seulement oven","1"
"723","bosch oven","1"
"724","Amenidad pequeu00f1a por estancia conditioner","20"
"725","Amenidad pequeu00f1a por estancia body soap","19"
"726","Amenidad pequeu00f1a por estancias body soap","1"
"727","Paid parking lot off premises u2013 EUR3 per day","2"
"728","Dining area","30"
"729","Gated property","26"
"730","Woodburning fireplace","20"
"731","Garage parking","80"
"732","Netflix","4"
"733","LOccitane de Provence  body soap","1"
"734","LOccitane de Provence  conditioner","1"
"735","LOccitane de Provence  shampoo","1"
"736","Paid parking garage on premises u2013 ZAR66 per day","3"
"737","Shared indoor heated pool","11"
"738","Conditioner conditioner","1"
"739","Soap body soap","1"
"740","SMEG stainless steel stove","1"
"741","Shared gym nearby","17"
"742","Aksoi gas stove","1"
"743","DEFY refrigerator","3"
"744","SMEG stainless steel electric stove","2"
"745","Philips sound system with aux","1"
"746","Dedicated workspace office chair monitor table and desk","1"
"747","HDTV with standard cable Netflix","4"
"748","SMEG refrigerator","8"
"749","Stand alone bathtub","4"
"750","Wine cooler","13"
"751","Smart TV","26"
"752","Stand alone rain shower","5"
"753","Juliet balcony","2"
"754","Decorative fireplace","5"
"755","Wet bar","14"
"756","Electric blinds","1"
"757","Dual vanity","2"
"758","Triad sound system","1"
"759","TV with Apple TV premium cable","1"
"760","It varies conditioner","2"
"761","It varies shampoo","1"
"762","different brands at different times body soap","1"
"763","Fridge and freezer combo refrigerator","1"
"764","48","13"
"765","it varies body soap","1"
"766","HS shampoo","1"
"767","HS conditioner","1"
"768","132","1"
"769","Free carport on premises u2013 2 spaces","14"
"770","Defy stainless steel electric stove","9"
"771","120","5"
"772","TV with Chromecast premium cable","1"
"773","Woolworths body soap","3"
"774","Woolowrths conditioner","1"
"775","Woolworths shampoo","1"
"776","Aru00e7elik stainless steel gas stove","4"
"777","Aru00e7elik stainless steel oven","6"
"778","Paid street parking off premises u2013 EUR6 per day","1"
"779","Clothing storage closet walkin closet dresser and wardrobe","2"
"780","whirlpool refrigerator","4"
"781","44","4"
"782","Airplay sound system","1"
"783","Electrolux stainless steel oven","6"
"784","Electrolux stainless steel gas stove","2"
"785","Lirio o similar body soap","1"
"786","Smeg stainless steel gas stove","20"
"787","Phillips sound system with aux","1"
"788","Paid parking lot on premises u2013 BRL180 per stay 1 space","1"
